log10_sigma_sub log_mc LOS_normalization shmf_log_slope log_m_host source_size_pc bic summary_statistic logL_image_data source_plane_sol seed
-1.6558392 9.6371628 0.9404992 -1.8648233 13.1830534 22.7263489 1.0 0.1088463 1.0 0.0010684 20384133.0
-1.0990923 5.7333764 0.9404063 -1.8589454 13.40513 42.7746604 1.0 0.1514063 1.0 0.0013698 20384134.0
-0.4584961 9.9564026 0.9404049 -1.9078988 13.2553546 29.9479422 1.0 0.1572714 1.0 0.0012754 20384135.0
-0.336785 5.6459886 1.0120959 -1.9109921 12.6577107 34.9285938 1.0 0.2094636 1.0 0.0015923 20384136.0
-0.977864 4.6664934 0.9971034 -1.9002853 13.0321485 26.9310847 1.0 0.169527 1.0 0.0016401 20384137.0
-1.6503532 7.6369543 0.9691487 -1.8708855 13.7664506 22.5038907 1.0 0.3611425 1.0 0.4750953 20384138.0
-1.395598 5.2642977 1.0238189 -1.8959753 13.3024037 29.7278543 1.0 0.0873066 1.0 0.0020415 20384139.0
-0.2276459 9.6992344 1.0969383 -1.8702411 12.9362641 42.9139147 1.0 0.0844409 1.0 0.000841 20384140.0
-1.7027088 6.0713888 1.0097446 -1.9277772 13.6654717 44.5777648 1.0 0.1599386 1.0 0.001762 20384141.0
-1.1940519 4.5033283 1.0784792 -1.8726126 12.9971254 36.4529131 1.0 0.1974962 1.0 0.0006266 20384142.0
-2.1205676 5.7661843 0.9063281 -1.9046419 13.401195 40.3456825 1.0 0.0664681 1.0 0.0009214 20384143.0
-1.1052388 7.4163662 0.9272811 -1.9320706 13.063553 48.5016667 1.0 0.1255305 1.0 0.0013678 20384144.0
-1.877596 7.5853466 0.9376878 -1.9102156 13.4687404 38.180192 1.0 0.1237321 1.0 0.002221 20384145.0
-1.2033032 7.8867302 0.9504125 -1.8536762 13.1423275 30.3337135 1.0 0.1915437 1.0 0.0019448 20384146.0
-1.3609773 4.086534 0.9060666 -1.8697824 13.7147745 49.3633703 1.0 0.0827919 1.0 0.0023748 20384147.0
-1.0860885 7.9064492 1.0429002 -1.8795577 12.8505947 22.2485017 1.0 0.2015725 1.0 0.0013741 20384148.0
-1.7493902 8.4371786 0.9855981 -1.9170561 12.8159701 46.4333532 1.0 0.0985399 1.0 0.0018878 20384149.0
-0.9567499 8.0225043 0.9030585 -1.9210643 13.1806625 30.781303 1.0 0.2881969 1.0 0.0021531 20384150.0
-0.12665 8.684624 1.029996 -1.9162753 13.2553323 46.5886149 1.0 0.0281606 1.0 0.0010917 20384151.0
-1.4855156 7.265459 0.9631276 -1.8559995 13.3702863 39.5759875 1.0 0.0261456 1.0 0.0016429 20384152.0
-0.0648525 8.8441631 0.9970682 -1.8661991 13.1022879 43.0864257 1.0 0.0519815 1.0 0.0015352 20384153.0
-1.1840262 6.7170253 1.0000782 -1.8926799 13.3167052 21.6856431 1.0 0.1850099 1.0 0.0022498 20384154.0
-0.5968334 7.6575078 0.9327042 -1.8801556 12.5495646 30.2084442 1.0 0.0509306 1.0 0.0015698 20384155.0
-0.51238 6.2218276 1.0751975 -1.8810397 13.2988221 48.266606 1.0 0.240437 1.0 0.0012297 20384156.0
-1.6270673 7.4054758 1.0998285 -1.8961761 13.4513955 49.753556 1.0 0.1206159 1.0 0.0009082 20384157.0
-0.6351691 5.0968983 1.0799955 -1.905993 13.3230618 26.3606167 1.0 0.1412373 1.0 0.0029558 20384158.0
-0.0253788 9.6140965 0.9446396 -1.8864025 13.3905116 46.1531448 1.0 0.2497364 1.0 0.0010489 20384159.0
0.1192331 9.0173255 0.9864782 -1.8611534 13.59528 29.6962452 1.0 0.0472196 1.0 0.0005836 20384160.0
-0.3911515 7.2185969 1.0227925 -1.8571665 13.3572034 23.0651694 1.0 0.0895427 1.0 0.0005027 20384161.0
-1.2451635 6.7218119 0.9730372 -1.8608774 13.5449736 44.1251817 1.0 0.1217428 1.0 0.0007935 20384162.0
-2.0768527 7.6277825 0.9826797 -1.9235279 13.2724613 32.97104 1.0 0.117779 1.0 0.0004794 20384163.0
